Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Monção,-8.44576906284915,42.0457471630889,0,0,0,0,3,3,3,5,5,5,5,6,6,6,7,9,11,11,11,11,20,20,27,31,54
Monchique,-8.58386529206572,37.3243001062603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mondim De Basto,-7.92001150130248,41.4042733959079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,-7.43610604918521,39.0471398183115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montalegre,-7.83826451283795,41.7706837901971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-O-Novo,-8.24724878059728,38.6642560561506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-O-Velho,-8.64887874890211,40.2137138839399,0,0,0,8,8,10,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15
Montijo,-8.94606289094826,38.7025932701247,5,4,4,4,9,11,11,14,19,21,22,22,23,24,26,26,27,37,38,40,40,40,39,40,40
Mora,-8.11973863453825,38.9402990308336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,-8.24255758714056,40.4086539946929,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Moura,-7.32772859215277,38.1366401048448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,27,27,28,28
Mourão,-7.28019544108976,38.3339180292593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murça,-7.43818427545629,41.4127787580827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4
Murtosa,-8.66386352410735,40.752721589623,0,0,0,4,5,0,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Nazaré,-9.0389522174264,39.6058285152632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelas,-7.87569110105354,40.522874624739,0,0,3,3,4,0,5,4,7,7,8,9,9,9,9,10,12,13,13,13,13,13,12,13,13
Nisa,-7.65262288133863,39.4953401241349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
