CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
RIO MAIOR,-8.91367224414476,39.3340701636446,21192,27276,44,10255,10937,987,1071,912,1311,1141,11385,4385
SABROSA,-7.59237111419364,41.2584981681587,6361,15692,45,3069,3292,238,270,217,395,324,3225,1692
SABUGAL,-7.03769767305542,40.3598079241223,12544,82269,83,5885,6659,262,350,302,548,509,5419,5154
SALVATERRA DE MAGOS,-8.7082220416658,39.0320421594468,22159,24393,2,10645,11514,988,1089,971,1307,1024,11886,4894
SANTA COMBA DÃO,-8.12113916388904,40.4032752827937,11597,11194,76,5466,6131,457,526,425,703,545,5988,2953
Santa Cruz,-16.8346856299649,32.6715428161791,43005,8150,38,20877,22128,2700,2797,2102,2902,2423,25751,4330
SANTA CRUZ DA GRACIOSA,-28.0103473523363,39.0572045250459,4391,6065,78,2174,2217,198,214,196,299,282,2324,878
SANTA CRUZ DAS FLORES,-31.191045168926,39.4658221349175,2289,7091,44,1132,1157,100,105,97,142,133,1300,412
SANTA MARIA DA FEIRA,-8.53289456752324,40.9644548384268,139309,21587,65,67402,71907,6363,7442,6547,9740,7984,80610,20623
SANTA MARTA DE PENAGUIÃO,-7.79164041116284,41.2189478212474,7356,6928,14,3463,3893,229,310,279,438,375,3887,1838
